Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,630,10.5,229.74574207171457,229.7457394786421,2.593072480522096e-06,0.40603964070607423,51.57355828763854,2.6928910317348907e-06,-51.57355559474751,0.4435518889424564,51.57355828763854,2.6928910317348907e-06,-51.57355559474751,0.4435518889424564,51.57355828763854,2.6928910317348907e-06,-51.57355559474751,0.4435518889424564,154.72067486291562,8.078673095204673e-06,-154.72066678424252,1.3306556668273692,1.296536240261048e-06,1.1286705281844462e-08,42.915699999999994,True,-154.72066678424252,False
One-stage weighted objective,660,11.0,235.99030875364213,235.99030627504192,2.478600217727944e-06,0.4756639399062345,53.863031451095985,2.5784222920755703e-06,-53.863028872673695,0.4388570914266927,53.863031451095985,2.5784222920755703e-06,-53.863028872673695,0.4388570914266927,53.863031451095985,2.5784222920755703e-06,-53.863028872673695,0.4388570914266927,161.58909435328795,7.735266876226711e-06,-161.5890866180211,1.3165712742800781,1.239300108863972e-06,1.0502974595941711e-08,50.0505,True,-161.58908661802107,False
One-stage weighted objective,690,11.5,232.58844417352725,232.58844163397293,2.5395543198101224e-06,0.5483790280678416,52.6192181710089,2.639374484335418e-06,-52.619215531634424,0.4451656460488558,52.6192181710089,2.639374484335418e-06,-52.619215531634424,0.4451656460488558,52.6192181710089,2.639374484335418e-06,-52.619215531634424,0.4451656460488558,157.85765451302672,7.918123453006254e-06,-157.85764659490326,1.3354969381465673,1.2697771599050612e-06,1.091866076508701e-08,32.4315,True,-157.85764659490326,False
One-stage weighted objective,720,12.0,137.66254700039707,137.6625404311404,6.569256656803191e-06,0.6194149681997461,20.82560852338536,6.669005180549089e-06,-20.82560185438018,0.44800955335064113,20.82560852338536,6.669005180549089e-06,-20.82560185438018,0.44800955335064113,20.82560852338536,6.669005180549089e-06,-20.82560185438018,0.44800955335064113,62.47682557015608,2.0007015541647267e-05,-62.476805563140545,1.3440286600519236,3.2846283284015954e-06,4.771999937487894e-08,23.403,True,-62.47680556314054,False
One-stage weighted objective,750,12.5,86.5071933071255,86.50715907237145,3.4234754057251845e-05,0.6475295285913056,4.045163365088628,3.4334413780642725e-05,-4.045129030674848,-1.766680616116683,4.045163365088628,3.4334413780642725e-05,-4.045129030674848,-1.766680616116683,4.045163365088628,3.4334413780642725e-05,-4.045129030674848,-1.766680616116683,12.135490095265885,0.00010300324134192818,-12.135387092024542,-5.300041848350049,1.7117377028625923e-05,3.957445935820457e-07,25.086,True,-12.135387092024542,False
One-stage weighted objective,780,13.0,63.43607803724001,63.43607813682869,0.0,0.6529904419101523,3.474246840143873e-10,3.408566272442503e-10,-6.568056770136995e-12,-12.032129698207289,3.474246840143873e-10,3.408566272442503e-10,-6.568056770136995e-12,-12.032129698207289,3.474246840143873e-10,3.408566272442503e-10,-6.568056770136995e-12,-12.032129698207289,1.042274052043162e-09,1.0225698817327509e-09,-1.9704170310410983e-11,-36.09638909462187,0.0,0.0,45.933,True,-1.9704170310411116e-11,False
One-stage weighted objective,810,13.5,220.84312489531777,220.84312222093425,2.6743835187517107e-06,0.6529904419100545,50.062074745622596,2.7741996172535096e-06,-50.06207197142298,-6.649997850473711,50.062074745622596,2.7741996172535096e-06,-50.06207197142298,-6.649997850473711,50.062074745622596,2.7741996172535096e-06,-50.06207197142298,-6.649997850473711,150.1862242368678,8.32259885176053e-06,-150.18621591426893,-19.949993551421134,1.3371917593758554e-06,1.210987899224574e-08,36.0845,True,-150.18621591426893,False
One-stage weighted objective,840,14.0,219.0145041579911,219.01450141437584,2.7436152449809015e-06,0.720574238192979,48.84326110572316,2.8434293292492443e-06,-48.84325826229383,-5.561006402545118,48.84326110572316,2.8434293292492443e-06,-48.84325826229383,-5.561006402545118,48.84326110572316,2.8434293292492443e-06,-48.84325826229383,-5.561006402545118,146.52978331716946,8.530287987747734e-06,-146.5297747868815,-16.683019207635358,1.3718076224904508e-06,1.2527093835765929e-08,41.0365,True,-146.52977478688146,False
One-stage weighted objective,870,14.5,209.104784648659,209.10478177970705,2.8689519385807215e-06,0.7865126359466669,46.7813268815096,2.9687625238166553e-06,-46.781323912747084,-9.244067911106514,46.7813268815096,2.9687625238166553e-06,-46.781323912747084,-9.244067911106514,46.7813268815096,2.9687625238166553e-06,-46.781323912747084,-9.244067911106514,140.3439806445288,8.906287571449966e-06,-140.34397173824124,-27.732203733319544,1.4344759692903607e-06,1.372016400007861e-08,35.203,True,-140.34397173824124,False
One-stage weighted objective,900,15.0,169.58967598894523,169.58967168529304,4.303652181988582e-06,0.8496674222887672,31.540105697152836,4.4034315909405925e-06,-31.540101293721243,0.45074002651910416,31.540105697152836,4.4034315909405925e-06,-31.540101293721243,0.45074002651910416,31.540105697152836,4.4034315909405925e-06,-31.540101293721243,0.45074002651910416,94.6203170914585,1.3210294772821778e-05,-94.62030388116374,1.3522200795573125,2.151826090994291e-06,2.5376852434514454e-08,39.21,True,-94.62030388116374,False
