Time_sample,Time_h,PV_architecture,PV_available_P_W,PV_command_P_W,PV_Q_command_var,PV_curtailment_W,CentralSolar_Available_P_W,CentralSolar_P_command_W,CentralSolar_Q_command_var,CentralSolar_P_curtailment_W
930,15.5,central,108386.17806758464,108386.16561591324,9.259556343213212e-06,0.012451671398594044,108386.17806758464,108386.16561591324,9.259556343213212e-06,0.012451671398594044
960,16.0,central,167971.81180257935,167971.80758949777,4.653439465057693e-08,0.004213081585476175,167971.81180257935,167971.80758949777,4.653439465057693e-08,0.004213081585476175
990,16.5,central,124580.44620067778,124580.43806495961,-5.235252623123456e-07,0.008135718162520789,124580.44620067778,124580.43806495961,-5.235252623123456e-07,0.008135718162520789
1020,17.0,central,58867.659044205095,39826.06123559624,-1.026661057152052e-06,19041.597808608858,58867.659044205095,39826.06123559624,-1.026661057152052e-06,19041.597808608858
1050,17.5,central,21386.15526279812,1.1094322399890961e-09,-3.869502293955222e-06,21386.15526279701,21386.15526279812,1.1094322399890961e-09,-3.869502293955222e-06,21386.15526279701
1080,18.0,central,35726.29562474032,649.3362810159967,-8.943590987580893e-06,35076.959343724324,35726.29562474032,649.3362810159967,-8.943590987580893e-06,35076.959343724324
1110,18.5,central,34880.48921037201,3944.9215937105078,-3.789751825661325e-06,30935.567616661505,34880.48921037201,3944.9215937105078,-3.789751825661325e-06,30935.567616661505
1140,19.0,central,14676.355200650205,1.1094413055447143e-09,2.1925416844035314e-06,14676.355200649095,14676.355200650205,1.1094413055447143e-09,2.1925416844035314e-06,14676.355200649095
1170,19.5,central,6556.644238336597,1.1094427164299186e-09,-2.948320662571216e-06,6556.644238335487,6556.644238336597,1.1094427164299186e-09,-2.948320662571216e-06,6556.644238335487
1200,20.0,central,1478.7101336823926,1.10943980801291e-09,-8.436989759221913e-09,1478.7101336812832,1478.7101336823926,1.10943980801291e-09,-8.436989759221913e-09,1478.7101336812832
1230,20.5,central,513.8621598622417,1.109446175164445e-09,-7.518356641206318e-07,513.8621598611322,513.8621598622417,1.109446175164445e-09,-7.518356641206318e-07,513.8621598611322
1260,21.0,central,0.0,-3.519055214852067e-16,3.5315568474676258e-06,3.519055214852067e-16,0.0,-3.519055214852067e-16,3.5315568474676258e-06,3.519055214852067e-16
1290,21.5,central,0.0,-3.4581349276487213e-16,-3.18818246664597e-08,3.4581349276487213e-16,0.0,-3.4581349276487213e-16,-3.18818246664597e-08,3.4581349276487213e-16
1320,22.0,central,0.0,-3.522047213334771e-16,4.209184424684156e-06,3.522047213334771e-16,0.0,-3.522047213334771e-16,4.209184424684156e-06,3.522047213334771e-16
1350,22.5,central,0.0,-3.5122409466225134e-16,-2.31692363793348e-06,3.5122409466225134e-16,0.0,-3.5122409466225134e-16,-2.31692363793348e-06,3.5122409466225134e-16
1380,23.0,central,0.0,-3.4456802074990435e-16,6.326279005247513e-08,3.4456802074990435e-16,0.0,-3.4456802074990435e-16,6.326279005247513e-08,3.4456802074990435e-16
1410,23.5,central,0.0,-3.4985092170757905e-16,1.5395285774900467e-07,3.4985092170757905e-16,0.0,-3.4985092170757905e-16,1.5395285774900467e-07,3.4985092170757905e-16
1440,24.0,central,0.0,-3.5039796316958465e-16,-8.141975403658155e-07,3.5039796316958465e-16,0.0,-3.5039796316958465e-16,-8.141975403658155e-07,3.5039796316958465e-16
