Time_sample_min,Time_h,PV_available_kW,PV_seed_fraction,PV_seed_kW,BESS_seed_P_ch_kW,BESS_seed_P_dis_kW,BESS_seed_P_net_kW,BESS_seed_SOC_pu,Min_voltage_pu,Max_voltage_pu,Max_line_loading_pu_of_security_limit,Transformer_loading_pu_of_security_limit
930,15.5,108.38617806758464,0.692909912109375,75.10185711868115,0.0,0.0,0.0,0.5720000000000001,1.075142537275086,1.0998405019021633,0.998957932597459,0.06401546938710002
960,16.0,167.97181180257934,0.344625732421875,57.887408668693254,0.0,0.0,0.0,0.5720000000000001,1.0638092543877924,1.0999777344738537,0.7856091586026278,0.012618208039736551
990,16.5,124.58044620067777,0.51901171875,64.65871150525568,0.0,0.0,0.0,0.5720000000000001,1.062894744987327,1.0999735719066817,0.8607418175899622,0.02700073633260015
1020,17.0,58.8676590442051,1.0,58.8676590442051,0.0,0.0,0.0,0.5720000000000001,1.068332841671476,1.0868411349861047,0.7941608621616556,0.018061059849554157
1050,17.5,21.38615526279812,1.0,21.38615526279812,0.0,0.0,0.0,0.5720000000000001,1.0557732532807764,1.0813846040759076,0.2944749389031921,0.06331767635970603
1080,18.0,35.72629562474032,1.0,35.72629562474032,0.0,0.0,0.0,0.5720000000000001,1.051707614458521,1.0908886038722914,0.48211037992226957,0.0278880832197291
1110,18.5,34.88048921037201,1.0,34.88048921037201,0.0,0.0,0.0,0.5720000000000001,1.0604934062364768,1.080122685497807,0.47670784381904985,0.047722571318949684
1140,19.0,14.676355200650205,1.0,14.676355200650205,0.0,0.0,0.0,0.5720000000000001,1.0603169926753726,1.0742681338789617,0.20097867406979955,0.05598817514447869
1170,19.5,6.556644238336596,1.0,6.556644238336596,0.0,0.0,0.0,0.5720000000000001,1.0584751558104515,1.076673238762015,0.1711387978525264,0.05220355394584819
1200,20.0,1.4787101336823925,1.0,1.4787101336823925,0.0,0.0,0.0,0.5720000000000001,1.0563932114994432,1.0739824364114656,0.26606170860845624,0.08458598041701211
1230,20.5,0.5138621598622417,1.0,0.5138621598622417,0.0,0.0,0.0,0.5720000000000001,1.0535546049780362,1.0740917863903523,0.23364844324894024,0.07135604630269418
1260,21.0,0.0,0.0,0.0,0.0,32.4,32.4,0.5720000000000001,1.0718885329788994,1.08126752361513,0.43724927035245026,0.009431896952694344
1290,21.5,0.0,0.0,0.0,0.0,32.4,32.4,0.554,1.0636301318544015,1.0844727664101574,0.4424425375581992,0.02562439311549254
1320,22.0,0.0,0.0,0.0,0.0,32.4,32.4,0.536,1.068061349790361,1.082227358747025,0.43708789709842566,0.017165008066138916
1350,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.518,1.0641783353437204,1.07429773435663,0.143810483068648,0.05142459570162643
1380,23.0,0.0,0.0,0.0,0.0,32.4,32.4,0.518,1.0597401137233127,1.0856396066682472,0.4424821102257931,0.011718330483729998
1410,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0640095201195177,1.074392416241672,0.1375305869362571,0.03972594532225099
1440,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0621401970967614,1.0742018631666816,0.12877165766940302,0.04227170803281107
