Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation,Night_interval,Daytime_interval,Night_gate_max_phase_discharge_kW,Night_gate_allowed_day_discharge_kW,Night_gate_violation
One-stage weighted objective,660,11.0,235.99030875364213,235.99030627508156,2.478560578310862e-06,0.47566393990697287,53.86303145125928,2.578551799523121e-06,-53.86302887270748,0.4388570332014971,53.86303145125928,2.578551799523121e-06,-53.86302887270748,0.4388570332014971,53.86303145125928,2.578551799523121e-06,-53.86302887270748,0.4388570332014971,161.58909435377785,7.735655398569363e-06,-161.58908661812245,1.3165710996044913,1.239280289155431e-06,1.0502806625412366e-08,50.0505,True,-161.58908661812245,False,False,True,2.578551799523121e-06,2.478560578310862e-06,False
One-stage weighted objective,690,11.5,232.58844417352725,232.5884416340147,2.5395125267095865e-06,0.5483790280685854,52.61921817125968,2.639503744051657e-06,-52.619215531755934,0.4451653398312276,52.61921817125968,2.639503744051657e-06,-52.619215531755934,0.4451653398312276,52.61921817125968,2.639503744051657e-06,-52.619215531755934,0.4451653398312276,157.85765451377904,7.918511232154972e-06,-157.85764659526782,1.3354960194936827,1.2697562633547933e-06,1.0918481078169698e-08,32.4315,True,-157.8576465952678,False,False,True,2.639503744051657e-06,2.5395125267095865e-06,False
One-stage weighted objective,720,12.0,137.66254700039707,137.6625404312531,6.569143966771662e-06,0.619414968200613,20.825608523692722,6.669134493536634e-06,-20.825601854558226,0.44801038481910804,20.825608523692722,6.669134493536634e-06,-20.825601854558226,0.44801038481910804,20.825608523692722,6.669134493536634e-06,-20.825601854558226,0.44801038481910804,62.476825571078166,2.0007403480609902e-05,-62.47680556367468,1.3440311544573242,3.284571983385831e-06,4.771918077872491e-08,23.403,True,-62.47680556367469,False,False,True,6.669134493536634e-06,6.569143966771662e-06,False
One-stage weighted objective,750,12.5,86.5071933071255,86.50715907256314,3.423456236487254e-05,0.6475295285923744,4.045163365087782,3.4334551065422786e-05,-4.0451290305367165,-1.7666806144035496,4.045163365087782,3.4334551065422786e-05,-4.0451290305367165,-1.7666806144035496,4.045163365087782,3.4334551065422786e-05,-4.0451290305367165,-1.7666806144035496,12.135490095263346,0.00010300365319626834,-12.13538709161015,-5.300041843210649,1.711728118243627e-05,3.957423776694496e-07,25.086,True,-12.13538709161015,False,False,True,3.4334551065422786e-05,3.423456236487254e-05,False
One-stage weighted objective,780,13.0,63.43607803724001,63.436078137233984,0.0,0.6529904419109912,6.817186170160833e-13,3.6958371303538176e-12,3.0141185133377345e-12,-12.05397251767204,6.817186170160833e-13,3.6958371303538176e-12,3.0141185133377345e-12,-12.05397251767204,6.817186170160833e-13,3.6958371303538176e-12,3.0141185133377345e-12,-12.05397251767204,2.04515585104825e-12,1.1087511391061453e-11,9.042355540013203e-12,-36.161917553016124,0.0,0.0,45.933,True,9.042355540013203e-12,False,False,True,3.6958371303538176e-12,0.0,False
One-stage weighted objective,810,13.5,220.84312489531777,220.84312222098052,2.6743372436612846e-06,0.6529904419109835,50.062074745690715,2.774328425157506e-06,-50.062071971362286,-6.649997850390059,50.062074745690715,2.774328425157506e-06,-50.062071971362286,-6.649997850390059,50.062074745690715,2.774328425157506e-06,-50.062071971362286,-6.649997850390059,150.18622423707214,8.322985275472518e-06,-150.1862159140869,-19.949993551170177,1.3371686218306423e-06,1.2109669453957201e-08,36.0845,True,-150.18621591408686,False,False,True,2.774328425157506e-06,2.6743372436612846e-06,False
One-stage weighted objective,840,14.0,219.0145041579911,219.01450141442433,2.7435667579993607e-06,0.7205742381937853,48.84326110641008,2.843557949840122e-06,-48.84325826285213,-5.561006404905406,48.84326110641008,2.843557949840122e-06,-48.84325826285213,-5.561006404905406,48.84326110641008,2.843557949840122e-06,-48.84325826285213,-5.561006404905406,146.52978331923026,8.530673849520367e-06,-146.52977478855638,-16.683019214716218,1.3717833789996803e-06,1.2526872448685984e-08,41.0365,True,-146.5297747885564,False,False,True,2.843557949840122e-06,2.7435667579993607e-06,False
One-stage weighted objective,870,14.5,209.104784648659,209.10478177975926,2.8688997263088822e-06,0.7865126359481743,46.78132688149083,2.968890868468651e-06,-46.78132391259996,-9.244067910837094,46.78132688149083,2.968890868468651e-06,-46.78132391259996,-9.244067910837094,46.78132688149083,2.968890868468651e-06,-46.78132391259996,-9.244067910837094,140.3439806444725,8.906672605405954e-06,-140.34397173779988,-27.73220373251128,1.4344498631544411e-06,1.3719914305783345e-08,35.203,True,-140.3439717377999,False,False,True,2.968890868468651e-06,2.8688997263088822e-06,False
One-stage weighted objective,900,15.0,169.58967598894523,169.58967168537666,4.3035685666836795e-06,0.8496674222900354,31.540105697375914,4.403559468611407e-06,-31.540101293816445,0.4507400335812239,31.540105697375914,4.403559468611407e-06,-31.540101293816445,0.4507400335812239,31.540105697375914,4.403559468611407e-06,-31.540101293816445,0.4507400335812239,94.62031709212775,1.3210678405834219e-05,-94.62030388144933,1.3522201007436716,2.1517842833418398e-06,2.537635938973201e-08,39.21,True,-94.62030388144935,False,False,True,4.403559468611407e-06,4.3035685666836795e-06,False
One-stage weighted objective,930,15.5,108.38617806758464,108.38616561606364,1.245152100455016e-05,0.8922465576422274,11.065507450110854,1.2551510517645692e-05,-11.065494898600337,0.16436728450572463,11.065507450110854,1.2551510517645692e-05,-11.065494898600337,0.16436728450572463,11.065507450110854,1.2551510517645692e-05,-11.065494898600337,0.16436728450572463,33.196522350332565,3.765453155293708e-05,-33.19648469580101,0.4931018535171739,6.22576050227508e-06,1.1488107825691542e-07,25.9245,True,-33.19648469580101,False,False,True,1.2551510517645692e-05,1.245152100455016e-05,False
One-stage weighted objective,960,16.0,167.97181180257934,167.97180758957987,4.2129994835704564e-06,0.9071849717806929,32.20241982841558,4.312990407193276e-06,-32.202415515425166,-6.136577877734723,32.20241982841558,4.312990407193276e-06,-32.202415515425166,-6.136577877734723,32.20241982841558,4.312990407193276e-06,-32.202415515425166,-6.136577877734723,96.60725948524673,1.2938971221579828e-05,-96.6072465462755,-18.40973363320417,2.1064997417852282e-06,2.5081586239732174e-08,45.25,True,-96.6072465462755,False,False,True,4.312990407193276e-06,4.2129994835704564e-06,False
One-stage weighted objective,990,16.5,124.58044620067777,124.5804380650856,8.135592172038741e-06,0.9506582313607363,16.864478726052894,8.235582388119838e-06,-16.864470490470506,-4.322799135696696,16.864478726052894,8.235582388119838e-06,-16.864470490470506,-4.322799135696696,16.864478726052894,8.235582388119838e-06,-16.864470490470506,-4.322799135696696,50.593436178158676,2.4706747164359514e-05,-50.59341147141152,-12.968397407090091,4.067796086019371e-06,6.53039254565977e-08,41.6925,True,-50.593411471411514,False,False,True,8.235582388119838e-06,8.135592172038741e-06,False
One-stage weighted objective,1020,17.0,58.8676590442051,33.55784974851231,25.309809295692787,0.9734252639149371,1.0169361469830298e-05,13.65757761234655,13.657567442985078,0.4407915179920917,1.0169361469830298e-05,13.65757761234655,13.657567442985078,0.4407915179920917,1.0169361469830298e-05,13.65757761234655,13.657567442985078,0.4407915179920917,3.0508084409490895e-05,40.97273283703965,40.972702328955236,1.3223745539762752,12.654904647846394,0.4299442122658056,60.6611,False,40.97270232895524,False,False,True,13.65757761234655,25.309809295692787,False
One-stage weighted objective,1050,17.5,21.38615526279812,-9.643867340327814e-12,21.386155262807762,0.9506626482896642,-9.195126205315901e-12,21.38615536280705,21.386155362816247,-11.46784070405971,-9.195126205315901e-12,21.38615536280705,21.386155362816247,-11.46784070405971,-9.195126205315901e-12,21.38615536280705,21.386155362816247,-11.46784070405971,-2.7585378615947703e-11,64.15846608842115,64.15846608844873,-34.40352211217913,10.693077631403881,1.0000000000004508,60.3799,False,64.15846608844873,False,False,True,21.38615536280705,21.386155262807762,False
One-stage weighted objective,1080,18.0,35.72629562474032,9.971327071247615,25.754968553492706,0.9150190560183067,6.688920263985708e-06,20.764012050561362,20.7640053616411,-5.187796986082052,6.688920263985708e-06,20.764012050561362,20.7640053616411,-5.187796986082052,6.688920263985708e-06,20.764012050561362,20.7640053616411,-5.187796986082052,2.0066760791957123e-05,62.292036151684094,62.29201608492329,-15.563390958246156,12.877484276746353,0.7208966981636208,50.6114,False,62.292016084923304,False,False,True,20.764012050561362,25.754968553492706,False
One-stage weighted objective,1110,18.5,34.88048921037201,0.891141594967467,33.98934761540454,0.8804123782974136,5.683802440890555e-06,24.435896717056185,24.435891033253746,0.4425180474461386,5.683802440890555e-06,24.435896717056185,24.435891033253746,0.4425180474461386,5.683802440890555e-06,24.435896717056185,24.435891033253746,0.4425180474461386,1.7051407322671665e-05,73.30769015116856,73.30767309976123,1.3275541423384158,16.99467380770227,0.974451574070742,61.787,False,73.30767309976123,False,False,True,24.435896717056185,33.98934761540454,False
One-stage weighted objective,1140,19.0,14.676355200650205,-9.64386479915274e-12,14.676355200659849,0.8396858914421199,-9.183803266845162e-12,14.676355300659138,14.676355300668321,-18.711690604566655,-9.183803266845162e-12,14.676355300659138,14.676355300668321,-18.711690604566655,-9.183803266845162e-12,14.676355300659138,14.676355300668321,-18.711690604566655,-2.7551409800535484e-11,44.02906590197741,44.029065902004966,-56.135071813699966,7.338177600329924,1.000000000000657,49.4985,False,44.029065902004966,False,False,True,14.676355300659138,14.676355200659849,False
