Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction,Feeder_nominal_P_demand_kW,PV_surplus_interval,BESS_net_discharge_kW,Gate_violation
One-stage weighted objective,930,15.5,108.38617806758464,108.386178167549,0.0,0.8741278849403441,10.567623713916296,1.6934262907697748e-11,-10.567623713899362,0.9742295059509176,11.059632011252715,1.6927251612069887e-11,-11.059632011235788,0.43920447698693393,10.995504031089656,1.692313795250376e-11,-10.995504031072732,0.45373440561790074,32.62275975625867,5.078465247227139e-11,-32.622759756207884,1.8671683885557522,0.0,0.0,25.9245,True,-32.622759756207884,False
One-stage weighted objective,960,16.0,167.97181180257934,167.97181190254358,0.0,0.8888081268306323,28.48522142378087,1.7018079908572693e-11,-28.48522142376385,2.4247803532973022,31.324845190592125,1.6991439064649552e-11,-31.324845190575132,-1.4375842771169418,30.8626131922806,1.7005010961765434e-11,-30.8626131922636,-1.036963199100279,90.67267980665359,5.101452993498768e-11,-90.67267980660257,-0.049767122919918846,0.0,0.0,45.25,True,-90.67267980660257,False
One-stage weighted objective,990,16.5,124.58044620067777,124.5804463006421,0.0,0.9296108327435979,11.283949600819993,1.697394210305493e-11,-11.283949600803018,0.7106403279584296,16.377440032092103,1.6942643047312982e-11,-16.37744003207516,0.01138184995795907,16.485609258710475,1.6938040111627482e-11,-16.485609258693536,0.909102574496972,44.14699889162257,5.0854625261995395e-11,-44.14699889157171,1.6311247524133605,0.0,0.0,41.6925,True,-44.14699889157172,False
One-stage weighted objective,1020,17.0,58.8676590442051,51.391508250779744,7.4761507934253535,0.9494769822447998,4.341631357545589e-12,7.47615089341373,7.476150893409388,-6.309619301029207,4.341630721904325e-12,7.476150893413728,7.476150893409386,-2.827231637347664,4.341630892278411e-12,7.476150893413734,7.476150893409391,-2.875952677110558,1.3024892971728325e-11,22.428452680241193,22.428452680228165,-12.012803615487428,3.7380753967126767,0.12699928814582787,60.6611,False,22.42845268022817,False
One-stage weighted objective,1050,17.5,21.38615526279812,1.6171136703906328,19.769041592407483,0.937016730755783,4.345138558835229e-12,19.769041692395867,19.76904169239152,-12.235313414145917,4.345138030858788e-12,19.769041692395867,19.76904169239152,-13.32179201148541,4.345137641220509e-12,19.769041692395867,19.76904169239152,-14.062300060947187,1.3035414230914526e-11,59.30712507718759,59.30712507717457,-39.619405486578515,9.884520796203741,0.9243850215001639,60.3799,False,59.307125077174554,False
One-stage weighted objective,1080,18.0,35.72629562474032,18.823255049077595,16.903040575662725,0.9040683279351291,4.3443358479602365e-12,16.9030406756511,16.903040675646757,-6.234067475391837,4.344334397440667e-12,16.903040675651095,16.903040675646753,-9.2194852660123,4.3443352008818574e-12,16.903040675651106,16.90304067564676,-7.585990591442004,1.3033005446282761e-11,50.70912202695331,50.70912202694027,-23.039543332846144,8.451520287831363,0.47312603448193596,50.6114,False,50.70912202694028,False
One-stage weighted objective,1110,18.5,34.88048921037201,16.374251770728904,18.50623743964311,0.8758965934757165,4.34482505571357e-12,18.506237539631485,18.506237539627143,-5.642591692321845,4.344824376102932e-12,18.506237539631485,18.506237539627143,-5.3537379250454125,4.344823575441861e-12,18.50623753963148,18.50623753962714,-6.5374722200972135,1.3034473007258362e-11,55.518712618894455,55.51871261888142,-17.53380183746447,9.253118719821556,0.5305612925331369,61.787,False,55.51871261888142,False
One-stage weighted objective,1140,19.0,14.676355200650205,0.010367224922889185,14.665987975727315,0.8450528642430032,4.3436844650171915e-12,14.665988075715692,14.665988075711347,-19.317114845432556,4.343684511127388e-12,14.665988075715692,14.665988075711347,-18.882898882257827,4.343684530766377e-12,14.665988075715692,14.665988075711347,-18.90068826424561,1.3031053506910957e-11,43.99796422714707,43.99796422713404,-57.100701991935985,7.332993987863658,0.9992936103834261,49.4985,False,43.99796422713404,False
One-stage weighted objective,1170,19.5,6.556644238336596,0.027371110673151712,6.529273127663445,0.8206095507834837,4.341347489816747e-12,6.529273193218264,6.529273193213923,-22.71026719329406,4.3413474168807784e-12,6.529273193218264,6.529273193213923,-22.682008746799855,4.341347505992165e-12,6.529273193218264,6.529273193213923,-21.39911826447574,1.302404241268969e-11,19.58781957965479,19.58781957964177,-66.79139420456966,3.2646365638317225,0.9958254390999114,40.435,False,19.587819579641767,False
One-stage weighted objective,1200,20.0,1.4787101336823925,0.027938582148143886,1.4507715515342485,0.8097274287947924,4.339915866678454e-12,1.4507715663097271,1.4507715663053873,-22.99483449155805,4.339915907046695e-12,1.4507715663097271,1.4507715663053873,-21.859432605297087,4.33991591178325e-12,1.4507715663097271,1.4507715663053873,-22.795794439962247,1.3019747685508399e-11,4.352314698929182,4.352314698916161,-67.65006153681739,0.7253857757671243,0.9811061130158287,56.3995,False,4.352314698916162,False
One-stage weighted objective,1230,20.5,0.5138621598622417,0.024183019493976998,0.4896791403682647,0.8073094761842825,4.339649501715768e-12,0.4896791454952636,0.48967914549092395,-22.51769130352554,4.339649568509133e-12,0.4896791454952636,0.48967914549092395,-22.013159549407522,4.339649522449811e-12,0.48967914549526353,0.4896791454909239,-23.25641610861829,1.3018948592674713e-11,1.4690374364857908,1.4690374364727719,-67.78726696155135,0.24483957018413235,0.9529387034444021,47.399,False,1.4690374364727719,False
One-stage weighted objective,1260,21.0,0.0,6.71757320071205e-13,0.0,0.8064933442751295,5.473637164753057e-06,25.373864781050962,25.3738593074138,0.43429726060459395,5.537065055647146e-06,25.08320667331402,25.083201136248963,0.4340929092047465,5.542110881051362e-06,25.06036987419131,25.06036433208043,0.45605477916144377,1.6552813101451566e-05,75.51744132855629,75.5174247757432,1.3244449489707844,0.0,,34.112,False,75.51742477574318,False
One-stage weighted objective,1290,21.5,0.0,6.717719736558002e-13,0.0,0.7645392176524746,5.462253307121525e-06,25.426745745405725,25.42674028315242,0.8785676611044604,5.606463340826758e-06,24.772723517435892,24.772717910972556,0.2609262797312656,5.522966576819742e-06,25.14723587375101,25.147230350784433,0.3286611959057573,1.6591683224768025e-05,75.34670513659263,75.34668854490941,1.4681551367414831,0.0,,45.046,False,75.34668854490941,False
One-stage weighted objective,1320,22.0,0.0,6.71776677322748e-13,0.0,0.7226799444872917,4.5405571674738585e-06,30.58809802356828,30.58809348301111,0.6234493465395351,5.5607292442809555e-06,24.97646398981364,24.976458429084396,0.13732523162043964,5.550504554670514e-06,25.022473097237153,25.022467546732603,0.7331731410175029,1.565179096642533e-05,80.58703511061907,80.58701945882811,1.4939477191774777,0.0,,39.2842,False,80.58701945882811,False
One-stage weighted objective,1350,22.5,0.0,6.717651016748842e-13,0.0,0.6779093764691472,5.4208009753532565e-06,25.621179358376185,25.62117393757521,0.6999087601513425,5.556506882138772e-06,24.995443272312084,24.995437715805203,0.4350114559375904,5.5406814110835765e-06,25.066835261626068,25.066829720944657,0.457039343407464,1.6517989268575604e-05,75.68345789231434,75.68344137432507,1.591959559496397,0.0,,34.0765,False,75.68344137432507,False
One-stage weighted objective,1380,23.0,0.0,6.717751454980932e-13,0.0,0.6358630184065122,5.453810777675158e-06,25.46610604413288,25.4661005903221,0.2608372102520832,5.602631608243846e-06,24.789665810587938,24.789660207956327,1.0232746633368315,5.52905930181866e-06,25.119525284536408,25.119519755477107,-1.225128730978685,1.6585501687737663e-05,75.37529713925723,75.37528055375553,0.058983142610229834,0.0,,34.936,False,75.37528055375554,False
One-stage weighted objective,1410,23.5,0.0,6.717622379107769e-13,0.0,0.5939878607926244,5.455822947913188e-06,25.456713954721803,25.456708498898852,0.02435543178643147,5.522565720541466e-06,25.1490611678178,25.14905564525208,0.127329307297951,5.552583508017671e-06,25.013104489990482,25.013098937406973,0.8898109272400666,1.6530972176472323e-05,75.6188796125301,75.6188630815579,1.041495666324449,0.0,,26.0865,False,75.61886308155792,False
One-stage weighted objective,1440,24.0,0.0,6.71762242246118e-13,0.0,0.5519773795579336,5.452590949942234e-06,25.471803133296365,25.471797680705414,0.4310340885143593,5.531368362816519e-06,25.109039292767307,25.109033761398944,0.43790981223128234,5.560290188704322e-06,24.978436179070368,24.978430618780177,0.45094452919864014,1.6544249501463075e-05,75.55927860513404,75.55926206088454,1.319888429944282,0.0,,27.1535,False,75.55926206088454,False
